894.815,1lliillii1,티원이 서머에서 누운경기가 몇개길래 눕는게 지겹다고 함
896.234,ㅗ라이언ㅗ,t1이 어차피이김
902.172,츄모찌,안녕하세여
906.604,플다이,T1 이기자
911.268,Rainmaker0514,아 경기 못보는데 이겨라 t1제발
911.891,마스터원딜장지환,여러분들 안뇽
911.903,gtagftt123,어차피우승은~~
912.759,rlaalstjs38,t1 파이팅
913.126,cielazer,t1 근본팀인데 너무 허무하게 짐 IG전 기억하시나요? 16분안에 패배한거 정말 충격이였음.. 담원이 더 재미있게 싸움
913.679,ahrja456,스테이크 먹으면서 봐야징 ~!
915.028,chan01,t1 win~
916.998,_아롬,t1 파이팅
920.196,김무스1,뷰봇 빨리 켜라
925.239,television23,^일557^
931.205,xx0xx715,오늘 엘림 나왔으면 좋겠다
934.494,다음주부터,１557?
946.281,mepsong22,오늘 엘림임
946.988,아스널스피릿,앞뒤가 똑같은 데리운전 일오오칠 일오오칠
947.068,advent_the_great,담원경기라
950.512,무1557,15S7
952.517,신뢰보호,오늘 T1 선발 아는 분?
959.311,officinegenerale,SLEEPING team VS FIGHTING team
960.067,불궈기비빔밥,하위
965.625,humteresting,ㅋㅋㄹㅃㅃ
972.252,maelsechnail,칸나 엘림 페이커 테디 에포트
980.846,스쿨사또,T1 제발 이겼으면 좋겠다
982.992,psy7290036,담원 화이팅 이기자ㅏㅏㅏ
1003.281,ahri_attrox,ㅣ5S7
1004.518,블링이블,SKT T1 화이팅!!
1005.039,탈옥한시공,할뿐
1018.897,석윤,티원 담원 화이팅
1025.663,jhs1225,천오백오십칠 치면 밴당해요?
1029.481,heypq,둘다 파이팅
1031.243,cehmars,하낫둘셋 티원화이팅
1032.256,알콜은포이즌,커즈나와라~~~~~~~~!
1037.948,홍기석1,티원 화이팅!
1039.185,noirwod,T1 화이팅 담원 이기자
1044.565,muscle97,일오우오우칠!
1044.701,아참수마렵다,요즘 커즈 왜 안나오냐
1046.026,하츄츄,Key player Canna vs Nuguri임
1047.274,항상타오,에스카 화이팅!
1050.636,borisedan,졸리면 티원승
1054.199,cielazer,2일후에 수영장파티 스킨 나옴 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 신드라 바로사야지
1055.649,다음주부터,시청자 수 15S7명도 안되는거 실화냐
1057.124,bloodyinspire,칸나 엘림 페이커 테디 에포트
1061.371,jihun0128,티원 담원이 두번째 경기였어야되는데
1073.084,wineyo,커즈가 요즘 메타에 살짝 적응 못하는 느낌이 들어서 그런듯
1074.084,너나잘하라구우,티원 화이팅!
1074.561,fillfine,MSC 복수 가능한가
1076.422,新北市中和區的孟孟,SirShield
1079.416,xx0xx715,샌박 힘내라
1091.113,조매콤,오늘 제발 네네누나
1091.408,에뽀리투,시이ㅣㅣㅣㅣ자아아아ㅏㅏㅏㅏ악~~ 하겠습니다ㅏㅏ~~
1092.172,직성,1분557초 남았네
1093.016,신뢰보호,두팀 다 재밌는 경기 화이팅!
1097.446,h1dekor,t1 화이팅!!!
1101.665,쇳덩어리,ㅁㄷ ㅅㅍ 대전이 ㄹㅇ 기대되네
1106.087,초절정뽑기왕,왜 500명밖에 안보냐
1108.678,thepotato1257,t1
1108.696,미사카미코토남편,도티 오열 ㅜㅜ
1111.597,지쪼,일로로칠
1116.685,순당무가노래하면오는사람,t1tt1t1t1tt1t1tt1t1tt1t1t1tt
1119.074,chan01,시작하면 다올듯
1123.925,시리네스,망겜이라그런듯
1125.135,일쑤시개,와
1128.82,쿠이04,좀있음 오것지
1130.92,maelsechnail,10분뒤면 만명은 넘겠지
1131.617,달타냥이,오늘 매치 잼ㅣ있네 젠지는 보약 먹고
1132.149,김무스1,뷰봇 켜라 얼른
1132.206,junmin2319,담원 화이팅
1133.315,청정소환사,T1 화이팅
1136.814,뒤집개다내꺼,착석해라
1137.173,그린갠,유튜브는 6천명임
1140.872,kjh6075,시청자 수 왜이래
1142.263,미안무새,지금 시청자 갱신 안되고있는거임
1146.637,bottle_fe,곧 뷰봇 돌릴 예정입니다
1146.974,1진혼1,T1화이팅
1147.15,naegachoigoda,보약 ㅋㅋㅋㅋ
1147.555,또대리,오 시간 딱맞췄당
1150.507,행복한흐구,?
1154.857,Juin9620,담원 화이팅 이기자
1154.899,이쁜척하면뼈때림,망햇놐ㅋㅋㅋㅋㅋㅋㅋㅋ
1155.708,hanu0974,울프보다 적노ㅋㅋㅋㅋ
1155.924,ckiu777,t1이 이김 ㅅㄱ
1156.323,이지미,학교 시간땜에그럼
1156.687,머머리훌쩍이,쇼메이커 나오나?
1156.76,ntheoryb2,사람왤케없냐
1159.933,hicamus,아직 뷰봇 안켜서그래
1160.481,야옹이씨,평일이잖아요
1161.937,jihunkim0812,담원 파이팅!
1164.036,mynameisyeri,항원아 출근 언제하냐
1165.009,muscle97,담원이 이대떡 하겠지 머
1165.964,alcol45,담원 이교라!!! 티원한테지면 망신이다
1167.213,파랑카우,보약ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1173.826,1557skt1557,남중생성희롱한민아누나나오나요
1177.821,delimandu,한체미 쇼메
1179.641,하츄츄,5
1181.417,bloodyinspire,확실히 교전이 많이 일어나다 보니까 메타에 플레이스타일 맞추기 힘들어서 갱킹형 정글러 엘림을 선발로 하는게 아닐까 싶다.
1182.373,싹둑,▣ 채팅방 상황에 따라 슬로우 모드 적용이 이루어질 수 있습니다. ▣ 비속어 및 도배 등에 대해서는 필터링이 진행 중이니 매너 채팅 부탁드립니다. (_ _) ▣
1182.626,Effo1011,뷰봇안켜서 시청자꼬라지 ㅋㅋㅋㅋㅋㅋㅋ
1182.914,배림이그패봐봐,코로나 때문에 한방에 500명 이상 안들어가짐
1183.298,히미,담원 화이팅
1186.283,bebe0101,사람 개없네
1186.705,김가가,간다 간다 뿅간다
1187.139,갓알라이드,담원화이팅
1187.642,죠말롱을울린정병소녀,한다 한다
1189.983,leehangerr,시청자 와이럼 ㅋㅋㅋ
1191.25,한식,근데 뷰봇없이 농도 100프로 시청자 몇명임?
1194.015,제본,한다
1194.346,kyw40,ㅘㅏㅏㅏㅏㅏㅏ
1195.515,투앙팡,경시 시자~~~ㄱ 하겟습니다
1195.66,뚱이닷_,법원가서 못나옴
1195.907,너나잘하라구우,시청자 폭주해서 집계 안되고 있는거 아님?ㅎㅎ 영어채널 1500명인데?
1195.926,캔들보이,시청자가 별로 없구만
1196.731,kjl20161,ㄱㅈㅇ
1197.271,아스널스피릿,담원이 2:0으로 이김 ㅅㄱ
